player_id,player_id_fpl,player_name,web_name,Team,team_id,Position,Games,Minutes,Goals,Expected Goals,Assists,Expected Assists,Shots,Key Passes,Non-Penalty Goals,Expected Goals (Non-Penalty),Expected Goals (Chain),Expected Goals (Build-Up),Expected Points (Next GW),Expected Points (This GW),Event Points,Form,Cost,PPG,Selected By (%),Total Points,Value (Form),Value (Season),Clean Sheets,Yellow Cards,Red Cards,Saves,Bonus,BPS,Influence,Creativity,Threat,ICT Index
2249,508,James Rodríguez,Rodríguez,Everton,7,3,8,661,3,2.030544174835086,3,2.8887157291173935,16,18,3,2.030544174835086,6.332714200019836,3.7455636244267225,1.5,1.0,0,1.0,79,5.6,28.5,45,0.1,5.7,1,1,0,0,5,201,242.0,263.3,180.0,68.7
3277,6,Alexandre Lacazette,Lacazette,Arsenal,1,4,7,485,3,2.702361896634102,0,0.3091066889464855,9,6,3,2.702361896634102,3.2058951184153557,0.3283694423735142,1.0,1.5,0,1.0,83,3.9,2.9,27,0.1,3.3,2,1,0,0,3,88,126.4,73.8,186.0,38.3
5956,228,Youri Tielemans,Tielemans,Leicester,9,3,9,810,3,2.367433225736022,0,0.10210291668772697,10,3,1,0.8450956102460623,3.1835599541664124,2.4273199774324894,5.5,6.0,0,5.0,64,4.0,3.2,36,0.8,5.6,3,3,0,0,3,165,223.0,95.6,101.0,41.9
6827,181,Bobby Reid,Decordova-Reid,Fulham,8,4,8,443,3,2.0947228828445077,0,0.06302459724247456,11,2,3,2.0947228828445077,3.028801673091948,0.9166624434292316,1.7,2.2,0,3.2,53,2.9,0.2,23,0.6,4.3,2,3,0,0,2,113,121.4,49.7,180.0,35.0
7700,377,Che Adams,Adams,Southampton,16,4,9,765,3,3.506595194339752,4,1.968664176762104,19,10,3,3.506595194339752,4.629331022500992,0.7177304569631815,4.8,4.3,0,4.8,59,5.3,5.1,48,0.8,8.1,4,1,0,0,7,157,208.0,134.2,291.0,63.4
111,369,Jannik Vestergaard,Vestergaard,Southampton,16,2,8,675,2,0.49637943506240845,0,0.6078829020261765,3,2,2,0.49637943506240845,1.3465649411082268,1.3465649411082268,3.8,3.3,0,3.8,47,5.2,10.0,42,0.8,8.9,4,0,0,0,1,191,240.6,26.9,71.0,33.9
318,4,Pierre-Emerick Aubameyang,Aubameyang,Arsenal,1,3,9,806,2,1.5902884863317013,1,1.3299629194661975,13,11,1,0.8291196636855602,2.9258605167269707,0.8484869115054607,3.2,3.7,0,3.2,116,3.7,11.3,33,0.3,2.8,3,2,0,0,1,115,139.0,162.2,190.0,49.1
482,249,Roberto Firmino,Firmino,Liverpool,11,4,9,708,2,4.202005118131638,2,1.1122497841715813,19,10,2,4.202005118131638,8.142505824565887,3.787864312529564,3.2,3.2,0,2.2,92,3.7,2.3,33,0.2,3.6,2,1,0,0,3,138,147.8,143.8,375.0,66.6
556,306,Marcus Rashford,Rashford,Manchester United,13,3,8,708,2,2.39395690523088,3,0.6618929151445627,19,13,2,2.39395690523088,3.9129378460347652,1.3904315195977688,2.2,2.2,0,2.5,95,4.8,7.0,38,0.3,4.0,2,1,0,0,2,101,177.8,187.1,288.0,65.3
592,106,Ross Barkley,Barkley,"Aston Villa,Chelsea",2,3,8,494,2,1.5331400129944086,1,1.882594257593155,18,16,2,1.5331400129944086,3.769010439515114,0.7570633292198181,0.6,0.6,0,2.5,60,4.0,3.0,32,0.4,5.3,2,0,0,0,4,116,148.8,223.9,205.0,57.8
618,276,Raheem Sterling,Sterling,Manchester City,12,3,8,639,2,1.6784737631678581,1,1.7316236570477486,16,9,2,1.6784737631678581,5.488429486751556,3.3280713111162186,2.7,2.7,0,1.2,115,4.2,4.8,34,0.1,3.0,2,1,0,0,5,86,128.8,132.7,290.0,55.2
773,184,Aleksandar Mitrovic,Mitrović,Fulham,8,4,9,689,2,3.846546906977892,2,1.41880077496171,31,9,1,2.3242092169821262,3.732033673673868,0.5136613920331001,1.0,1.5,0,2.5,57,3.2,5.9,29,0.4,5.1,1,2,0,0,3,72,139.2,130.1,339.0,59.5
